Date,Confirmed,Deaths,Recovered,Active
2020/6/9,7253492,412236,3317121,3524135
2020/6/10,7387517,417441,3395154,3574922
2020/6/11,7525631,422215,3480121,3623295
2020/6/12,7654725,426512,3558933,3669280
2020/6/13,7790735,430750,3644048,3715937
2020/6/14,7924156,434124,3714006,3776026
2020/6/15,8043794,437549,3793406,3812839
2020/6/16,8185197,444416,3890800,3849981
2020/6/17,8327050,449671,4008201,3869178
2020/6/18,8466978,454700,4088826,3923452
2020/6/19,8647784,460973,4183298,4003513
2020/6/20,8805336,465222,4298603,4041511
2020/6/21,8933875,469185,4366875,4097815
2020/6/22,9071733,472756,4458093,4140884
2020/6/23,9237071,478067,4561696,4197308
2020/6/24,9408254,483328,4677005,4247921
2020/6/25,9586141,489955,4769458,4326728
2020/6/26,9777487,494782,4875774,4406931
2020/6/27,9955597,499268,4981808,4474521
2020/6/28,10117227,502357,5070592,4544278
2020/6/29,10275799,506078,5164494,4605227
2020/6/30,10449697,511210,5281459,4657028
2020/7/1,10667386,516221,5397083,4754082
2020/7/2,10875091,521341,5681477,4672273
2020/7/3,11078585,526336,5790942,4761307
2020/7/4,11272152,530705,5986375,4755072
2020/7/5,11454847,534150,6105546,4815151
2020/7/6,11622190,537947,6228768,4855475
2020/7/7,11833034,544054,6373513,4915467
2020/7/8,12044836,549373,6531016,4964447
2020/7/9,12273063,554831,6665237,5052995
2020/7/10,12505640,560142,6804254,5141244
2020/7/11,12721968,565039,6929711,5227218
2020/7/12,12914636,568993,7041174,5304469
2020/7/13,13107415,572808,7181139,5353468
2020/7/14,13328867,578468,7322897,5427502
2020/7/15,13559984,583961,7482320,5493703
2020/7/16,13812525,589760,7634241,5588524
2020/7/17,14054563,596503,7793760,5664300
2020/7/18,14292198,602130,7944550,5745518
2020/7/19,14506845,606159,8032235,5868451
2020/7/20,14713623,610319,8190777,5912527
2020/7/21,14947078,616557,8364986,5965535
2020/7/22,15227725,623540,8541255,6062930
2020/7/23,15510481,633506,8710969,6166006
2020/7/24,15791645,639650,8939705,6212290
2020/7/25,16047190,644517,9158743,6243930
2020/7/26,16251796,648621,9293464,6309711
2020/7/27,16480485,654036,9468087,6358362
