日期,城市,订单呼叫次数,订单应答数,完成订单数,订单应答率,订单成交率,新增呼叫乘客数,新增呼叫乘客数,新增激活司机数,司机每日补贴,乘客每日补贴
2020-03-29,BZ市,3049,2693,2191,0.8832404066907182,0.718596261069203,79,79,32,2883.09,220.1
2020-03-29,DZ市,20636,18508,15353,0.8968792401628223,0.7439910835433223,258,258,35,15769.42,2140.7
2020-03-29,GA市,10909,10295,8922,0.9437161976349803,0.8178568154734622,188,188,25,10878.43,1064.7
2020-03-29,SN市,18219,17583,16054,0.9650913881113123,0.8811680114166529,288,288,30,17166.89,2140.3
2020-03-29,GY市,15654,14093,12289,0.9002810783186406,0.7850389676759933,244,244,18,12912.13,1641.8
2020-03-29,DY市,37401,36897,34955,0.9865244244806288,0.9346006791262266,526,526,75,-169.74,26314.9
2020-03-30,NC市,56646,54103,49108,0.9551071567277478,0.8669279384246019,556,556,80,45304.04,26748.2
2020-03-30,MY市,48030,47038,43240,0.9793462419321257,0.9002706641682282,716,716,98,36161.03,23154.9
2020-03-30,AB市,123,79,60,0.6422764227642277,0.4878048780487805,5,5,10,-75.0,6.9
2020-03-30,BZ市,3232,2781,2285,0.8604579207920792,0.7069925742574258,92,92,29,3173.27,334.7
2020-03-30,DZ市,19631,17543,14660,0.8936376139778921,0.746778055116907,243,243,32,16567.39,1853.3
2020-03-30,GA市,11953,10814,9417,0.9047101146155777,0.7878356897849912,207,207,38,10260.82,1137.1
2020-03-30,SN市,17752,16336,14864,0.9202343397926994,0.8373141054529067,250,250,32,18642.47,2055.1
2020-03-30,GY市,13348,12717,11276,0.9527270002996704,0.8447707521726101,142,142,17,16206.58,1511.6
2020-03-30,DY市,38682,38235,36313,0.9884442376299054,0.9387570446202368,536,536,81,29.24,36613.2
2020-03-31,NC市,60367,58738,52048,0.9730150578958703,0.8621929199728329,750,750,66,39822.97,18186.2
2020-03-31,MY市,51579,50465,46372,0.978402062855038,0.8990480621958549,892,892,85,36550.67,22230.1
2020-03-31,AB市,181,95,81,0.5248618784530387,0.44751381215469616,4,4,10,-105.0,16.2
2020-03-31,BZ市,2988,2661,2164,0.8905622489959839,0.7242302543507363,94,94,22,3172.72,249.7
2020-03-31,DZ市,19380,18104,15045,0.9341589267285861,0.7763157894736842,270,270,29,15208.34,2005.1
2020-03-31,GA市,11744,11017,9418,0.9380960490463215,0.801941416893733,184,184,40,10959.13,1064.7
2020-03-31,SN市,17985,17244,15696,0.9587989991659717,0.8727272727272727,231,231,31,17577.66,2039.8
2020-03-31,GY市,14010,13084,11336,0.9339043540328337,0.8091363311920057,189,189,19,21209.0,1577.5
2020-03-31,DY市,42487,42013,39522,0.9888436462918069,0.9302139477957964,623,623,64,208.06,38777.7
