日期,城市,订单呼叫次数,订单应答数,完成订单数,订单应答率,订单成交率,新增呼叫乘客数,新增呼叫乘客数,新增激活司机数,司机每日补贴,乘客每日补贴
2020-03-06,GY市,12965,11778,10575,0.908515890157359,0.815720456649182,192,192,32,13111.14,1606.8
2020-03-06,DY市,43019,42078,39540,0.978125944350171,0.919128757060834,769,769,83,138.92,7412.6
2020-03-08,NC市,62136,60319,54368,0.970757692802884,0.874983906270117,793,793,85,48742.72,67089.2
2020-03-08,MY市,59336,53939,48091,0.909043413779156,0.810486045570986,1094,1094,89,44611.89,49175.2
2020-03-08,AB市,164,36,28,0.219512195121951,0.170731707317073,2,2,12,-28.0,7.0
2020-03-08,BZ市,3131,2740,2221,0.87511977004152,0.709358032577451,110,110,26,2974.94,367.6
2020-03-08,DZ市,21644,19357,15988,0.894335612640917,0.738680465717982,293,293,25,15732.09,14118.1
2020-03-08,GA市,12995,11720,10196,0.901885340515583,0.784609465178915,266,266,43,12181.17,7249.3
2020-03-08,SN市,19669,18209,16504,0.925771518633382,0.839086887996339,320,320,37,21315.49,14301.0
2020-03-08,GY市,15287,13913,12248,0.91011970955714,0.801203637077255,250,250,31,16203.17,10305.6
2020-03-08,DY市,47106,46367,43644,0.984311977242814,0.926506177556999,941,941,78,379.08,44393.5
2020-03-07,NC市,54690,53684,49410,0.981605412324008,0.903455842018651,647,647,85,47720.48,66690.6
2020-03-07,MY市,50668,49031,44740,0.967691639693692,0.883003078866346,891,891,91,39426.37,44933.3
2020-03-07,AB市,220,34,27,0.154545454545455,0.122727272727273,7,7,8,-46.0,8.4
2020-03-07,BZ市,2799,2528,2051,0.903179707038228,0.73276170060736,69,69,17,3768.89,279.9
2020-03-07,DZ市,19322,17355,14602,0.898245432431034,0.755757983541225,258,258,42,14034.16,13487.0
2020-03-07,GA市,12436,11163,9802,0.897635895786427,0.788195561273721,188,188,33,11449.79,7652.2
2020-03-07,SN市,17452,16543,15217,0.947914279165712,0.871934448773779,243,243,41,21009.17,13715.4
2020-03-07,GY市,13590,12644,11266,0.930389992641648,0.828991905813098,194,194,34,15492.64,10326.7
2020-03-07,DY市,39724,39105,37229,0.984417480616252,0.937191622193133,673,673,86,249.94,37924.7
2020-03-09,NC市,53506,52127,47916,0.974227189474078,0.89552573543154,562,562,81,54622.72,53835.4
2020-03-09,MY市,50751,46443,42979,0.915114973103978,0.846860160390928,825,825,71,46626.95,12493.4
2020-03-09,AB市,131,33,28,0.251908396946565,0.213740458015267,8,8,14,-63.0,7.7
2020-03-09,BZ市,2720,2376,1922,0.873529411764706,0.706617647058824,81,81,24,3427.82,140.2
2020-03-09,DZ市,18762,17267,14824,0.920317663362115,0.790107664428099,225,225,32,19550.13,11429.8
2020-03-09,GA市,11621,10805,9368,0.929782290680664,0.806126839342569,202,202,44,13627.68,5709.7
2020-03-09,SN市,17435,16606,15184,0.952451964439346,0.870891884141096,236,236,38,23395.16,11319.3
2020-03-09,GY市,13482,12404,11156,0.920041536863967,0.827473668595164,189,189,25,19899.98,7994.3
2020-03-09,DY市,41273,40702,38556,0.986165289656676,0.934170038523975,627,627,83,6.3,31930.5
2020-03-12,NC市,66751,63857,57530,0.956644844271996,0.861859747419514,1022,1022,84,42321.76,31780.0
2020-03-12,MY市,63520,59121,52642,0.930746221662469,0.82874685138539,1296,1296,94,60432.8,13667.0
2020-03-12,AB市,105,44,33,0.419047619047619,0.314285714285714,8,8,9,-57.0,15.2
2020-03-12,BZ市,3976,3467,2787,0.871981891348089,0.700955734406439,170,170,28,3190.96,104.9
2020-03-12,DZ市,21794,19050,15692,0.874093787280903,0.720014682940259,376,376,29,20205.01,10369.8
2020-03-12,GA市,12746,11981,10284,0.939981170563314,0.80684136199592,262,262,25,16802.24,5188.4
2020-03-12,SN市,21803,20285,18400,0.930376553685273,0.843920561390634,415,415,38,23096.23,10980.3
2020-03-12,GY市,17236,15179,13234,0.880656764910652,0.767811557205848,343,343,16,15287.31,7942.3
2020-03-12,DY市,50794,49855,47249,0.981552212946921,0.930244920459915,1038,1038,81,-82.98,33690.1
2020-03-11,NC市,58149,56941,51978,0.979225782042683,0.893876076974669,914,914,73,70321.62,31189.7
2020-03-11,MY市,58945,56556,51327,0.959470693018916,0.870760878785308,1244,1244,88,65955.26,13708.2
2020-03-11,AB市,134,51,47,0.380597014925373,0.350746268656716,2,2,9,-43.0,6.5
2020-03-11,BZ市,3012,2689,2233,0.892762284196547,0.74136786188579,125,125,16,3451.74,135.0
2020-03-11,DZ市,19890,18317,15292,0.920915032679739,0.768828557063851,416,416,29,17050.65,10548.3
2020-03-11,GA市,12072,11172,9684,0.92544731610338,0.802186878727634,284,284,25,14779.06,5541.3
2020-03-11,SN市,20452,18912,16902,0.924746956139064,0.826463253630629,461,461,30,23930.88,10945.9
2020-03-11,GY市,14923,13818,12260,0.925953226563023,0.821550626549621,284,284,18,20431.46,7682.8
2020-03-11,DY市,47874,46939,44536,0.980469565943936,0.930275306011614,891,891,81,-94.87,33564.2
2020-03-10,NC市,60155,58148,52682,0.966636189842906,0.875770925110132,830,830,98,50468.56,35975.5
2020-03-10,MY市,58177,55568,50287,0.955170517051705,0.864394251925192,1066,1066,92,50387.43,14357.2
2020-03-10,AB市,131,28,21,0.213740458015267,0.16030534351145,5,5,9,-46.0,9.8
2020-03-10,BZ市,3069,2728,2178,0.888888888888889,0.709677419354839,84,84,24,2735.97,132.6
2020-03-10,DZ市,21691,19696,16131,0.90802637038403,0.743672490894841,355,355,33,17584.09,11635.3
2020-03-10,GA市,13592,12649,10766,0.93062095350206,0.792083578575633,255,255,25,12743.07,5936.9
2020-03-10,SN市,19875,18636,16884,0.937660377358491,0.849509433962264,365,365,31,21979.16,11425.1
2020-03-10,GY市,14930,13673,12092,0.915807099799062,0.809912926992632,193,193,35,16938.42,7904.1
2020-03-10,DY市,47058,46148,43792,0.980662161587828,0.930596285434995,793,793,96,1275.84,34177.9
2020-03-13,NC市,58508,53752,49283,0.918711971012511,0.842329254119095,656,656,91,44959.07,30555.6
2020-03-13,MY市,47507,45165,41662,0.95070200181026,0.876965499821079,760,760,78,58726.1,12901.8
2020-03-13,AB市,165,43,35,0.260606060606061,0.212121212121212,8,8,11,-95.0,4.9
2020-03-13,BZ市,3059,2747,2246,0.898005884275907,0.734226871526643,97,97,20,4220.5,279.2
2020-03-13,DZ市,19942,17700,15254,0.887573964497041,0.764918262962591,238,238,35,24385.43,9310.0
2020-03-13,GA市,13124,12135,10669,0.924641877476379,0.812938128619323,204,204,37,18002.02,5092.4
2020-03-13,SN市,19117,17061,15683,0.892451744520584,0.82036930480724,270,270,37,25740.75,9173.6
2020-03-13,GY市,14689,12967,11639,0.882769419293349,0.792361631152563,171,171,26,16658.17,7017.4
2020-03-13,DY市,40695,39897,37605,0.980390711389606,0.924069295982307,560,560,85,-15.03,25010.3
2020-03-14,NC市,52354,51672,47287,0.986973297169271,0.903216564159377,560,560,79,52269.58,33951.1
2020-03-14,MY市,45375,44341,41088,0.977212121212121,0.905520661157025,686,686,83,43535.32,22255.6
2020-03-14,AB市,114,31,25,0.271929824561404,0.219298245614035,5,5,7,-24.0,4.1
2020-03-14,BZ市,3222,2853,2341,0.885474860335196,0.726567349472377,88,88,24,3604.14,1171.5
2020-03-14,DZ市,18626,17349,14755,0.931439922688715,0.792172232363363,222,222,16,18641.79,8798.7
2020-03-14,GA市,12318,11445,10076,0.929128105211885,0.817989933430752,201,201,27,15192.19,5095.6
2020-03-14,SN市,17411,16712,15395,0.959852966515421,0.884211130894262,226,226,35,21774.77,7594.4
2020-03-14,GY市,13461,12554,11201,0.932620161949335,0.832107570017086,174,174,21,17011.43,6792.2
2020-03-14,DY市,38370,37912,36176,0.988063591347407,0.942819911389106,606,606,57,678.06,15809.5
2020-03-15,NC市,55408,53222,48471,0.960547213398787,0.874801472711522,601,601,24,46305.86,29184.7
2020-03-15,MY市,47475,46305,42927,0.975355450236967,0.904202211690363,715,715,31,40962.82,19672.2
2020-03-15,AB市,108,24,18,0.222222222222222,0.166666666666667,6,6,1,-48.0,0.2
2020-03-15,BZ市,3290,2961,2417,0.9,0.734650455927052,90,90,9,2954.66,1152.2
2020-03-15,DZ市,18678,17571,14843,0.940732412463861,0.794678231073991,227,227,10,16039.37,8038.9
2020-03-15,GA市,11164,10519,9220,0.942225008957363,0.825868864206378,182,182,12,12917.42,3938.8
2020-03-15,SN市,17847,17068,15651,0.956351207485852,0.876954109934443,254,254,15,19398.22,6143.8
2020-03-15,GY市,14058,12975,11605,0.92296201451131,0.825508607198748,161,161,7,15731.64,5872.4
2020-03-15,DY市,38907,38451,36586,0.988279744004935,0.940344925077749,617,617,23,1430.24,11943.4
2020-03-16,NC市,52709,51747,47311,0.981748847445408,0.897588647100116,567,567,63,48240.29,25491.6
2020-03-16,MY市,47276,46256,42749,0.97842457060665,0.904243167780692,725,725,66,44131.75,16545.7
2020-03-16,AB市,147,50,42,0.340136054421769,0.285714285714286,6,6,8,-28.0,0.0
2020-03-16,BZ市,2778,2527,2149,0.909647228221742,0.7735781137509,91,91,7,3431.65,883.4
2020-03-16,DZ市,18241,17172,14607,0.941395756811578,0.800778466092868,244,244,19,14337.21,7012.7
2020-03-16,GA市,11146,10461,9084,0.938542975058317,0.815000897182846,171,171,23,10739.71,3610.7
2020-03-16,SN市,17304,16546,15189,0.956195099398983,0.877773925104022,259,259,22,19233.96,5180.9
2020-03-16,GY市,13484,12288,10988,0.911302284188668,0.814891723524177,156,156,16,15836.29,4593.7
2020-03-16,DY市,39142,38637,36627,0.987098257626079,0.935746768177405,640,640,57,69.33,9247.6
2020-03-19,NC市,54574,53263,48835,0.975977571737457,0.894840033715689,823,823,70,40976.71,14059.4
2020-03-19,MY市,57746,55127,49818,0.954646209261248,0.862709105392581,1096,1096,96,60858.53,10003.6
2020-03-19,AB市,97,40,31,0.412371134020619,0.319587628865979,3,3,7,-62.0,5.0
2020-03-19,BZ市,2878,2581,2152,0.896803335649757,0.74774148714385,100,100,21,3438.51,653.0
2020-03-19,DZ市,18588,17552,14676,0.944265117279966,0.789541639767592,325,325,28,21626.14,3932.2
2020-03-19,GA市,11430,10839,9245,0.948293963254593,0.808836395450569,241,241,26,17191.69,2071.7
2020-03-19,SN市,18587,17762,16132,0.955614138914295,0.86791843761769,343,343,25,23881.08,1059.1
2020-03-19,GY市,15389,14306,12441,0.929625056858795,0.8084345961401,257,257,33,14374.72,3117.3
2020-03-19,DY市,45660,44811,42420,0.981406044678055,0.92904073587385,891,891,61,93.19,2360.7
2020-03-18,NC市,60160,58664,52664,0.975132978723404,0.875398936170213,866,866,92,71346.11,16101.4
2020-03-18,MY市,61506,58297,52123,0.947826228335447,0.847445777647709,1310,1310,99,66487.2,11182.2
2020-03-18,AB市,171,37,36,0.216374269005848,0.210526315789474,6,6,5,-55.0,0.8
2020-03-18,BZ市,3153,2821,2361,0.894703457025055,0.748810656517602,138,138,35,2709.01,717.4
2020-03-18,DZ市,22384,19026,14984,0.849982130092924,0.669406719085061,419,419,27,14877.45,4534.2
2020-03-18,GA市,12497,11541,9854,0.923501640393695,0.788509242218132,268,268,38,12351.55,2439.1
2020-03-18,SN市,20539,19398,17437,0.944447149325673,0.848970251716247,434,434,44,20864.51,1316.9
2020-03-18,GY市,15715,14243,12455,0.906331530384982,0.792554883868915,278,278,32,17049.51,3680.9
2020-03-18,DY市,47424,46538,43992,0.981317476383266,0.927631578947368,953,953,100,481.56,2916.5
2020-03-17,NC市,58544,57686,52756,0.985344356381525,0.901134189669309,690,690,70,46222.88,18887.7
2020-03-17,MY市,59371,56353,50757,0.949167101783699,0.854912330935979,987,987,79,42663.3,12069.5
2020-03-17,AB市,158,58,49,0.367088607594937,0.310126582278481,5,5,7,-25.0,0.3
2020-03-17,BZ市,2990,2684,2244,0.897658862876254,0.750501672240803,93,93,24,3024.06,770.0
2020-03-17,DZ市,21352,19370,15747,0.907174971899588,0.737495316597977,278,278,21,14632.69,5889.9
2020-03-17,GA市,12757,11895,10229,0.932429254526926,0.801834287058086,214,214,25,10388.14,2899.6
2020-03-17,SN市,19725,18926,17188,0.959493029150824,0.871381495564005,289,289,20,18668.68,1621.4
2020-03-17,GY市,15511,14033,12419,0.904712784475533,0.800657597833795,200,200,24,14769.68,4097.2
2020-03-17,DY市,46746,46053,43537,0.985175202156334,0.931352415179908,786,786,53,217.31,3436.2
2020-03-20,NC市,53235,52086,47550,0.978434834879964,0.893226133673968,602,602,58,39114.6,14685.0
2020-03-20,MY市,49287,47328,43423,0.960272694071339,0.881041269325975,739,739,71,54883.68,8384.3
2020-03-20,AB市,143,43,31,0.300699300699301,0.216783216783217,1,1,11,-42.0,1.1
2020-03-20,BZ市,2965,2594,2110,0.874873524451939,0.711635750421585,107,107,16,3140.82,486.0
2020-03-20,DZ市,18872,17106,14144,0.906422212802035,0.749470114455278,208,208,25,21737.35,3798.8
2020-03-20,GA市,11389,10594,9177,0.930195802967776,0.805777504609711,165,165,28,15697.46,1778.5
2020-03-20,SN市,17570,16464,15000,0.937051792828685,0.853727945361411,259,259,20,20399.35,691.4
2020-03-20,GY市,13928,12773,11359,0.917073520964963,0.81555140723722,175,175,24,15133.64,2573.2
2020-03-20,DY市,39277,38737,36481,0.986251495786338,0.928813300404817,624,624,81,72.7,1741.8
2020-03-21,NC市,58356,56742,51206,0.972358838145832,0.877491217547768,667,667,83,50163.73,16259.3
2020-03-21,MY市,48848,46979,42876,0.961738453979692,0.877743203406485,777,777,85,47182.72,9937.2
2020-03-21,AB市,110,65,45,0.590909090909091,0.409090909090909,5,5,8,-39.0,0.1
2020-03-21,BZ市,3520,2951,2348,0.838352272727273,0.667045454545454,87,87,33,2929.49,133.0
2020-03-21,DZ市,20113,18906,15757,0.939989061800825,0.78342365634167,257,257,36,13945.03,1630.2
2020-03-21,GA市,12997,12192,10594,0.938062629837655,0.815111179502962,257,257,41,10743.95,880.6
2020-03-21,SN市,18997,17971,16375,0.945991472337738,0.861978207085329,277,277,34,18698.35,1220.9
2020-03-21,GY市,13152,12416,11136,0.944038929440389,0.846715328467153,180,180,44,15842.81,1298.8
2020-03-21,DY市,39338,38804,36580,0.986425339366516,0.929889674106462,596,596,101,-535.5,2621.0
2020-03-22,NC市,49855,49245,45653,0.987804144183901,0.915752311796682,542,542,33,50995.9,20074.1
2020-03-22,MY市,48318,47254,43808,0.977979220994247,0.906660043875988,717,717,21,42312.26,18706.1
2020-03-22,AB市,134,44,39,0.328358208955224,0.291044776119403,0,0,1,-120.0,5.2
2020-03-22,BZ市,2791,2501,2103,0.896094589752777,0.753493371551415,79,79,9,2726.63,151.1
2020-03-22,DZ市,18103,17164,14600,0.948130144174999,0.806496160857316,199,199,6,17380.72,4345.6
2020-03-22,GA市,11203,10588,9165,0.945103990002678,0.818084441667411,190,190,10,13336.1,2153.0
2020-03-22,SN市,16912,16283,14936,0.962807473982971,0.883159886471145,203,203,8,21459.49,3651.8
2020-03-22,GY市,13214,12571,11260,0.951339488421371,0.852126532465567,167,167,5,13936.14,2901.5
2020-03-22,DY市,44675,44033,41619,0.985629546726357,0.931594851706771,688,688,33,-192.89,9400.2
2020-03-23,NC市,50548,49858,46051,0.986349608293108,0.911035055788557,624,624,58,36281.05,20089.8
2020-03-23,MY市,46577,45713,42331,0.981450071923911,0.908839126607553,821,821,54,37379.87,17362.6
2020-03-23,AB市,133,59,48,0.443609022556391,0.360902255639098,4,4,0,-9.0,1.2
2020-03-23,BZ市,2682,2373,1996,0.884787472035794,0.744220730797912,82,82,21,-187.01,93.6
2020-03-23,DZ市,18290,17231,14481,0.942099507927829,0.791744122471296,282,282,24,14442.58,4149.4
2020-03-23,GA市,11693,10947,9513,0.936201145984777,0.813563670572137,308,308,23,10237.12,2060.7
2020-03-23,SN市,17002,16483,15079,0.969474179508293,0.886895659334196,254,254,21,17515.57,3467.5
2020-03-23,GY市,13383,12731,11365,0.951281476500037,0.849211686467907,182,182,19,13982.15,2491.6
