date,sales,ads_fee,,
2020/2/4,380,17.14 ,,
2020/2/5,342,18.33 ,,
2020/2/6,365,27.80 ,,
2020/2/7,292,15.30 ,,
2020/2/8,334,37.32 ,,
2020/2/9,316,13.47 ,,
2020/2/10,348,10.23 ,,
2020/2/11,345,14.17 ,,
2020/2/12,316,14.59 ,,
2020/2/13,311,11.46 ,,
2020/2/14,273,12.17 ,,
2020/2/15,265,12.25 ,,
2020/2/16,298,13.29 ,,
2020/2/17,338,28.83 ,,
2020/2/18,340,16.46 ,,
2020/2/19,333,38.31 ,,
2020/2/20,347,17.31 ,,
2020/2/21,432,18.46 ,,
2020/2/22,391,28.08 ,,
2020/2/23,356,15.64 ,,
2020/2/24,403,35.04 ,,
2020/2/25,346,6.86 ,,
2020/2/26,356,3.25 ,,
2020/2/27,339,7.79 ,,
2020/2/28,305,8.28 ,,
2020/2/29,290,4.67 ,,
2020/3/1,350,5.51 ,,
2020/3/2,327,5.74 ,,
2020/3/3,355,6.98 ,,
2020/3/4,314,24.98 ,,
2020/3/5,252,10.10 ,,
2020/3/6,268,10.47 ,,
2020/3/7,269,43.16 ,,
2020/3/8,253,19.01 ,,
2020/3/9,302,31.18 ,,
2020/3/10,261,17.13 ,,
2020/3/11,281,27.97 ,,
2020/3/12,252,13.91 ,,
2020/3/13,253,40.15 ,,
2020/3/14,263,44.68 ,,
2020/3/15,276,45.20 ,,
2020/3/16,273,41.58 ,,
2020/3/17,272,42.42 ,,
2020/3/18,269,42.60 ,,
2020/3/19,235,43.89 ,,
2020/3/20,219,32.02 ,,
2020/3/21,228,17.09 ,,
2020/3/22,230,17.42 ,,
2020/3/23,210,43.13 ,,
2020/3/24,236,18.95 ,,
2020/3/25,220,31.13 ,,
2020/3/26,235,17.05 ,,
2020/3/27,189,28.38 ,,
2020/3/28,208,13.92 ,,
2020/3/29,184,10.25 ,,
2020/3/30,234,14.81 ,,
2020/3/31,221,15.30 ,,
2020/4/1,213,34.44 ,,
2020/4/2,243,35.29 ,,
2020/4/3,202,35.45 ,,
2020/4/4,230,36.78 ,,
2020/4/5,202,31.86 ,,
2020/4/6,201,17.03 ,,
2020/4/7,234,17.39 ,,
2020/4/8,181,43.06 ,,
2020/4/9,184,18.90 ,,
2020/4/10,182,31.00 ,,
2020/4/11,136,16.93 ,,
2020/4/12,158,29.08 ,,
2020/4/13,200,34.94 ,,
2020/4/14,203,38.59 ,,
2020/4/15,195,39.43 ,,
2020/4/16,175,39.88 ,,
2020/4/17,172,36.30 ,,
2020/4/18,169,37.16 ,,
2020/4/19,210,37.31 ,,
2020/4/20,202,38.60 ,,
2020/4/21,168,31.52 ,,
2020/4/22,172,16.93 ,,
2020/4/23,176,17.28 ,,
2020/4/24,138,42.37 ,,
2020/4/25,149,18.85 ,,
2020/4/26,163,30.60 ,,
2020/4/27,163,16.73 ,,
2020/4/28,137,29.98 ,,
2020/4/29,142,10.23 ,,
2020/4/30,126,13.74 ,,
2020/5/1,130,14.54 ,,
2020/5/2,133,14.92 ,,
2020/5/3,131,11.51 ,,
2020/5/4,148,12.31 ,,
2020/5/5,153,12.37 ,,
2020/5/6,168,13.67 ,,
2020/5/7,182,30.65 ,,
2020/5/8,167,26.48 ,,
2020/5/9,163,36.62 ,,
2020/5/10,157,40.51 ,,
